#ID_REF = 
#VALUE = Non-normalized
#Detection Pval = 
ID_REF	VALUE	Detection Pval
ILMN_1725881	187.7823	0.6916996
ILMN_1910180	244.8748	0.113307
ILMN_1804174	257.4557	0.08827405
ILMN_1796063	3824.741	0
ILMN_1811966	274.7574	0.1594203
ILMN_1668162	274.7425	0.2687747
ILMN_1715600	227.7812	0.2279315
ILMN_1912287	374.3414	0.01054018
ILMN_1793729	716.89	0
ILMN_1889125	235.1974	0.1870883
ILMN_2296644	206.3732	0.5362319
ILMN_1711283	209.9878	0.4782609
ILMN_1682799	1228.682	0
ILMN_1909767	198.2003	0.6706192
ILMN_1840770	178.5969	0.8932806
ILMN_1906209	251.9784	0.6890646
ILMN_1665311	347.2753	0.01317523
ILMN_1657235	165.9787	0.6890646
ILMN_1655444	3864.145	0
ILMN_1679194	351.9662	0.01054018
ILMN_1755897	359.2915	0.01054018
ILMN_1711453	202.8017	0.5955204
ILMN_1816369	209.2185	0.4967062
ILMN_1656744	226.1714	0.2687747
ILMN_2121316	470.7452	0.005270092
ILMN_1761911	310.4654	0.01054018
ILMN_1807467	215.7846	0.8484849
ILMN_1652609	340.0742	0.01054018
ILMN_1720944	192.0719	0.8353096
ILMN_1818577	578.3785	0
